,Brands,Styles,Prices,Available_in_Multiple_Colors
0,adidas,Nemeziz 19.3 TF,399,Tidak
1,adidas,Pro Next 2019,375,Tidak
2,Fila,Drifter Haze Slides,155,Tidak
3,Robert Wood,Leather Cross Strap Sandals,159,Tidak
4,Nike,Air Versitile IV,399,Tidak
5,Nike,Md Runner 2,369,Tidak
6,Seventy Five,Alex Sneakers,139,Tidak
7,Burton,Espadrille Slip Ons,149,Tidak
8,adidas,Duramo Slide,89,Tidak
9,Skechers,Zubazz,265,Tidak
10,adidas,Eezay Flip Flop,99,Tidak
11,Skechers,Go Walk Evolution Ultra,265,Ya
12,Jack & Jones,Trent Sneakers,219,Tidak
13,Skechers,Go Walk Max,235,Tidak
14,Skechers,Harsen,295,Tidak
15,Nike,Revolution 4 EU,269,Tidak
16,Nike,Renew Arena,399,Tidak
17,Nike,SB Check Solar Cnvs,269,Tidak
18,Seventy Five,Padded Sneakers,119,Ya
19,Robert Wood,Oxford Boots,149,Ya
20,Puma,Rogue X Knit,360,Tidak
21,Seventy Five,Graze Sneakers,119,Ya
22,Seventy Five,Old School Sneakers,79,Ya
23,Jack & Jones,Bane Sneakers,185,Ya
24,adidas,Galaxy 4,275,Tidak
25,Aldo,Preilia Sneakers,329,Tidak
26,adidas,UltraBoost 19,899,Tidak
27,Skechers,Go Walk 4,275,Tidak
28,Converse,Chuck Taylor All Star 70s,299,Tidak
29,Skechers,Go Run Mojo,285,Tidak
30,Calvin Klein,Logo Pool Slides,209,Ya
31,adidas,Predator 19.4 TF,275,Tidak
32,Aldo,Taliven Thongs,179,Ya
33,Nike,Ebernon Low,369,Ya
34,Jack & Jones,Barton Sneakers,185,Tidak
35,Guess,Elfino 2 Slides,145,Ya
36,adidas Originals,Deerupt Runner,499,Ya
37,adidas,Adilette Comfort Slides,189,Tidak
38,Skechers,Bounder,245,Ya
39,Robert Wood,Classic Oxford Lace Ups,139,Ya
40,Skechers,Equalizer 3.0,245,Tidak
41,Robert Wood,Faux Suede Moccasins,139,Ya
42,Brave Soul,On Tour Slides,49,Tidak
43,adidas,Duramo 9,300,Tidak
